分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 5, IPv4: 462, IPv6: 0, 最小延迟: 140 ms, 最高速率: 8.77 M/s, 平均速率: 4.13 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.12, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 5, IPv4: 259, IPv6: 0, 最小延迟: 66 ms, 最高速率: 15.35 M/s, 平均速率: 11.03 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 青海卫视, 有效: 5, IPv4: 300, IPv6: 0, 最小延迟: 6 ms, 最高速率: 10.91 M/s, 平均速率: 7.96 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.57, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 山东卫视, 有效: 5, IPv4: 479, IPv6: 0, 最小延迟: 13 ms, 最高速率: 31.98 M/s, 平均速率: 12.74 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.67, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 山西卫视, 有效: 5, IPv4: 173, IPv6: 0, 最小延迟: 112 ms, 最高速率: 9.44 M/s, 平均速率: 7.20 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 陕西卫视, 有效: 5, IPv4: 187, IPv6: 0, 最小延迟: 10 ms, 最高速率: 50.01 M/s, 平均速率: 23.10 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.67, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 四川卫视, 有效: 5, IPv4: 457, IPv6: 0, 最小延迟: 31 ms, 最高速率: 32.62 M/s, 平均速率: 26.05 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 深圳卫视, 有效: 5, IPv4: 514, IPv6: 0, 最小延迟: 32 ms, 最高速率: 32.56 M/s, 平均速率: 21.39 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 三沙卫视, 有效: 5, IPv4: 154, IPv6: 0, 最小延迟: 33 ms, 最高速率: 35.22 M/s, 平均速率: 18.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 天津卫视, 有效: 5, IPv4: 487, IPv6: 0, 最小延迟: 36 ms, 最高速率: 29.74 M/s, 平均速率: 9.36 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.67, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 云南卫视, 有效: 5, IPv4: 346, IPv6: 0, 最小延迟: 71 ms, 最高速率: 14.57 M/s, 平均速率: 10.07 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.85, 视频编解码器: h264, 音频编解码器: mp2
